text,expected,predicted
"Да похуй мне, щенок ебаный, думаешь я каждый высер в треде прочитал? Где подъехал, там и пишу.
",1.0,0.0
"Мы на старые монеты в карты играем. Вместо фишек. Ну и размер за актуальные наличные перед игрой.
",0.0,0.0
"А общий номинал в 25 ампер обусловлен вводным проводом: двухжильный алюминиевый вроде 4.5-5мм 2
",0.0,0.0
"Девушка симпатичная, все таки естественная красота намного круче!
",0.0,0.0
"У меня и так индукционная. и в СНТ бессмысленно переходить на двухтарифный. 4 р и баста.
",0.0,0.0
"Волшебство какое-то - на первой фотке просто кошка, на второй вижу цель не вижу препятствий
",0.0,0.0
"По проезжей части безопаснее? Или ехать медленнее, чтобы у догоняющего сзади было ещё меньше времени среагировать? Т.к. обычно асфальтовый кусок обочины очень маленький и я нахожусь в опасной близости к проезжей части. А если я двигался бы по правому краю проезжей части?
",0.0,0.0
"К сожалению, это то немногое, за что их можно похвалить. Когда играл не отпускало ощущение дешевизны. И, вроде бы, и не то чтобы плохо, а всё же без души сделано.
",0.0,0.0
"Добавил и отнял единицу? А можно ещё более наглядно для особо тупых? Я то про боковушку сказал... А судя по тому как написано - я тоже думаю что писали ученики. Я бы так написать не смог, лишний квадрат, прибавление-отнимание единицы вместо того чтобы разбить число...
",0.0,0.0
"Долго вглядывался в бабу в желтом, все не мог понять что с ней не так. Придется сегодня лечь пораньше.
",1.0,0.0
"В Китае что-то подобное планируют вводить.
",0.0,0.0
"И много у нас таких близко расположенных миллионных городков как в Китае?
",0.0,0.0
"да я не против, но имеем, что имеем. По большому счету, это прямое ограничение доступа к правосудию. ЦАФАП должен прислать постановление- ЦАФАП не выполнил - суду пофиг, раз нет, то и обжаловать нельзя. Инстанции пройдены, меня такая практика очень удивляет с логической точки зрения.
",0.0,0.0
"Судя по твоим постам, мания к Путину у тебя, а не у нас.
",1.0,1.0
"самые большие запасы нефти в стране
",0.0,0.0
"Нда... Не там уолттэк строили убежища.
",0.0,0.0
"технический проход в хохлы Даже хохлы могут в сплоченность и бунт (это еще до событий на донбасее кстати 2013 год) какие же пидорахи куколды
",1.0,0.0
"Это даже хорошо, больше хохлов можно порвать за один заход.
",1.0,0.0
"Терпите, бабоньки, терпите. Такова женская доля. Можете кричать и плакать, посуду бить, но терпеть. Никто вам не говорил, что с мужьями будет легко.
",1.0,0.0
"зачем покупать ансис для таких простеньких расчётов как ветровая нагрузка? Взять солид и считать там, полная лицензия около миллиона стоит, плюс удобный иинтерфейс и хорошие хелпы. Ансис - это очень тяжеловесный пакет, построенный как франкенштейн из разных расчётных ядер, имеет смысл его брать для серьёзных комплексных задач
",0.0,0.0
"А как же регистрация Дронов и прочее
",0.0,1.0
"ПИДАРАШИЙ МИР ГЛЬОДОВЫХ СВИНЕЙ И тут уже свинотетушиной сотне не отвертеться: мол, в Харькове или Одессе за стакан водки убивают русскоязычные. тут Винницкая область - колыбель украинского стада, родина Президента.
",1.0,0.0
"Каклы, вы уж там определитесь, нужен вам москальский газ или нет. Вы же за полный разрыв отношений с ахрессором, тогда нахуй вы хотите транзита?
",1.0,0.0
"Охуеть ты олд Сразу вспомнил ту группу в вк, со смешными мемами
",1.0,1.0
"а потом Коля из Уренгоя нам будет рассказывать, что немцы хорошие и воевать не хотели Ты реально думаешь что у немцев был выбор? В концлагере вообще-то немного неуютно
",1.0,1.0
"ОТПРАВИМ ТАРАСОВ В ГУЛАГИ, ПАНУЮТ ПУСКАЙ В ВОРКУТЕ, ПУСТЬ СТРОЯТ МОСТЫ, ДОХОДЯГИ, И СМОТРЯТ КАНАЛ ОРТ!
",1.0,0.0
Вопрос для пикабушных математиков.,0.0,0.0
"Не ожидал такого поворота. Но что ж, это жизнь. У нас в свое время смогли ужиться трое бассетов (2с и 1к). Не без драк в свое время, но смогли. Стали сплоченной стаей. Жаль, что те дни прошли и их уже нет...
",0.0,0.0
"хорошо дела в мск обстоят однако, у нас в городе по моим наблюдениям новых девушек до 30 лет все-то зарегистрировалось человек 20 за полгода...
",0.0,0.0
"Вспомним пример самого кассового режиссера Голливуда Стивена Спилберга. Сняв такие популярные ленты, как Дуэль (1971), Челюсти (1975), Близкие контакты третьего вида (1977), один из лучших фильмов за всю историю Голливуда - И.Т. Инопланетянин (1982), а так же Парк юрского периода , он много раз номинировался на Оскар , но, как и в случае со Скорсезе, ничего не получал. Но стоило ему между делом снять фильм, посвященный холокосту ( Список Шиндлера ) - так ему моментально всучили долгожданную награду и как лучшему режиссеру, и за лучший фильм. Более того, премия была присуждена в обход куда более сильному произведению киноискусства - знаменитой сегодня Филадельфии . Весьма показательно то, что Список изначально был выпущен лишь в ограниченный (!) прокат, и не пользовалась никаким заметным зрительским вниманием, но стоило ему получить политических Оскаров , как его прокат за месяц вырос на 89 ! Из вышеперечисленных фильмов Спилберга, Шиндлер действительно является лучшим. А Филадельфия - очень крутое кинцо.
",0.0,0.0
"Да гомофобам плевать на достоверность, на пруфы, там-то мозга нет по определению, лол)
",1.0,0.0
"Прошу прощения, но давление не является силой. По теме, если: Крыло имеет не симетричную форму, по-этому поток движется сверху и снизу с разными скоростями. Чем больше скорость потока, тем ниже давление. Конструируют крыло так, чтобы сверху крыла давление ниже было, из-за этого возникает подъемная сила. А меняя угол атаки крыла (наклон) меняемеё величину этой силы.
",0.0,0.0
"Раньше по приколу смотрел как японка готовит всякую еду или обозревает вкусняшки, без звука. И что-то так приятно смотреть было, только потом понял что на меня это действовало как АСМР
",0.0,0.0
"Речь не про фильм, смотрел этот трэш. Реально проводился эксперимент. Давно читал об этом.
",0.0,0.0
"меня так довёл до операции сухой ролтон и чипсы с акцией от мультиков
",0.0,0.0
"с батареей лучше не шутить.
",0.0,0.0
"Построить такое на московских грунтах, вряд ли было возможно.
",0.0,0.0
"Вот такую штуку использую вместо ванилина, больше нравится вкус и запах
",0.0,0.0
"Так победил все-таки толерастный фильм, но без пантеры. ;)",0.0,0.0
"У них ещё 1,5года назад было сильное предприятие ,а сейчас сдулись
",0.0,0.0
"Песок там под бетон насыпали и без откапывания. Чтобы пенопласт поровнее уложить. Кста. Маяками были некондиционные трубы dу20, приваренные к арматурным стержням в стены. Нормально зашло.
",0.0,0.0
"К сожалению, видео пока нет, но много разных есть на ютубе, где показывают, как работать с эпоксидной смолой. Принцип заливки конька, как и у сухоцветов.
",0.0,0.0
"Почему зумерам так нравится я их телки шлюхи? Пальцы рот, голые фотки и т.д Это какой то куколдизм. Я не хочу чтобы моя девушка вела себя как последняя блядь.
",1.0,1.0
"Шизофазия (речевая разорванность) симптом психических расстройств, выражающийся в нарушении структуры речи, при которой, в отличие от речевой бессвязности (потока несвязанных слов), фразы строятся правильно 1 , однако не несут никакой смысловой нагрузки, а содержание речи соответствует содержанию бреда 2 . Это расстройство речи отражает разорванность мышления пациентов 3 . Это расстройство характерно прежде всего для шизофрении. Понятие шизофазии было введено Э. Крепелином в 1913 году и некоторое время она считалась особой формой шизофрении 4 . Некоторые авторы даже выделяют отдельную форму шизофрении с таким названием 3 . Для шизофазии характерна повышенная речевая активность, речевой напор, а также симптом монолога , характеризующийся речевой неистощимостью и отсутствием потребности в собеседнике 4 . Как правило, этот симптом сочетается с внешней упорядоченностью, доступностью для общения и относительной интеллектуальной и аффективной сохранностью больных 4 . Отличительной чертой шизофазии считаются преимущественная продукция морфемных словообразований и глоссоманиакальных высказываний 5 . Помимо параноидной формы шизофрении 4 она может возникать при тяжёлом слабоумии 6 .
",0.0,0.0
"Это в принципе единственный выход из комнаты, причем тут эвакуационный коридор?
",0.0,0.0
"Нормальное рыночное поведение - поиск минимальной цены. Нет. Алсо теорию рационального выбора давно никто не котирует, почитай что-нибудь современное, а не маркса что ли.
",0.0,0.0
"Есть вариант уменьшить вес немного?
",0.0,0.0
"Сука мои глаза кровоточат, про какой там нахуй тубик тебе посты делать, пяздуй за букварем срочно!!!!
",1.0,1.0
"Сыш, мразь, ты охуела в Мухосранске жить и пиздеть на нормальных людей?
",1.0,1.0
"После сравнения сразу поменял мнение о фильме. Видно что не поёт, а открывает рот, видно, что актёр выглядит карикатурой на Меркури. И, может кажется, но звук и качество исполнения лучше в оригинале.
",0.0,0.0
"Можно осуществить гражданский арест при выявлении и пресечении преступления. Причем не всякого, а определенной тяжести (могу ошибиться, но вроде только тяжкие и особо тяжкие). Если есть подозрения , что человек совершил грабеж вчера, то задерживать его никак нельзя. А еще нельзя оружие для задержания (для самообороны можно, но не для задержания). Ну и еще много всяких нюансов.
",0.0,0.0
"А почему заблуждений? Согласен, у людей нет СИСТЕМЫ, но принципы те же самые. Кто-то ( большинство ) просто мимикрируют. А увидеть как на самом деле обстоят дела и мир - это у каждого есть возможность.
",0.0,0.0
"1 колесная пара толщиной обода более 70мм ( новые диски) от 200 000. На вагон 4 кп. Литье на вагон по 60 - 80 т.р. за элемент. стоимость ремонта в депо от 25 до 50 т.р. вот и считай. 1,2 - 1,4 млн за сход вагона. Новый в районе 3.5 млн. В зависимости от модели.
",0.0,0.0
"Я вас удивлю но эти ресурсы банились всегда и во всех странах То есть ты согласен, что АТАКА ОТ США это невероятное преувеличение. И нужды в создании изолированного сегмента интернета нету, а оно(создание) идет. Не одно кап. государство Как и социалистическое, как и любое другое, государство работает на поддержание порядка и строя. Только кап государство сумело создать адекватные условия жизни для компаний, которые уже методом борьбы за ресурсы ( коими являются люди в том числе) создают хорошие условия для этих людей. Я работаю на заводе, завод принадлежит капиталистам из Германии, построен он в России (привет тебе кстати независимость) этот завод оплачивает мне обучение немецкому, любое перемещение по работе, будь то командировка, или поездка по городу на такси, заочное обучение специальности в университете для повышения квалификации, несколько международных курсов, с адекватными сертификатами, котирующиеся во всем мире, предлагает командировки на предприятия в разных странах Европы с целью обучения новым системам и программам, погашение части кредита на квартиру, что дало мне возможность обзавестись квартирой к 27 годам в 10 минутах от места работы, и конечно же отличную заработную плату, при этом я имею возможность поменять место работы имея неплохую запись в книжке, которую примут во всем мире, т.к. у компании есть имя... давай мне не продавай ту чушь про капиталистов, которую пытаешься, инче я начну вспоминать где сейчас комми и что они всрали.
",0.0,0.0
а у сяоми это постоянно,0.0,0.0
"Лоллирую с пидорашек. Каждый год мерзнут, на ТСН пишут, что вымерзают целые города, Кличко пишет в фейсбуке, что киевские школы, детсады и ВУЗы не будут работать в связи с отсутствием отопления, и молодые пидорашки могут кайфовать дома. В половине городов от отопления отключают кучу муниципальных зданий. Президент в официальном твиттере пишет ПРИКРУТИ И каждый год приходят на сосач пидорашки, и пишут но ведь все хохлы замерзли в прошлом году ... Сука, вот что за гнилой народец? Лишь бы перед москалями повыебываться и покрасоваться, мол не мерзнете вы. Похуй, что вы там последний хуй без соли доедаете, но обязательно нужно прийти к москалям, и рассказать, как вы хорошо живете.
",1.0,0.0
"Поехавший алкаш-зоофил постоянно ввязывается в пьяные скандалы, нет, чтобы извиниться, он еще и всех россиян обвиняет в нетерпимости
",1.0,0.0
"Последний зоофил - свиней ебёт.
",1.0,1.0
"Вот не 50гб, если равномерно тратить то 10гб, а так рекорд удалось 30гб потратить
",0.0,0.0
"На картинках указаны отрасли и для них уже цифры. В том числе в ЦФО показана зп в автомобилестроении.
",0.0,0.0
"Откуда на фото слева 115?! Рост огромный?
",0.0,0.0
"Удачи, но в любом случае советую искать что-то приличнее, чем вот это вот.. поспрашивать земляков хотя бы, те же паблики ВКонтакте нередко приносят немало инфы полезной.
",0.0,0.0
"КНН Коты Не Нужны? Ты че, охуела, тварь?
",1.0,1.0
"Можешь ему передать от меня? Подпись фром хохланд виз лав
",1.0,0.0
"За саать на тротуар ещё можно и денег стрясти, за помыв тротуара. Лакрица все таки говно, будто лекарство жрёшь как десерт.
",0.0,0.0
"Сначала запретить въезд чуркам и выдворить уже приезжих, а потом уже уидем на сколько упадёт преступность в стране.
",1.0,0.0
"До сих пор пересматриваю его видео. Орамбо кстати на своем канале пилит похожий контент, но качеством похуже, там же и Шуран не редко светится, храню хрупкую надежду что когда-то он вернется, такая годнота ведь.",0.0,0.0
"Такой эффект могу вызывать специально. Долго всматриваюсь в объект, ловлю изменение масштаба и пытаюсь сохранить настройки) довольно странное ощущение транса
",0.0,0.0
"Как бы сказать. Пространственная рама - это довольно нищебродская технология изготовления кузова, использование которой оправдано только на малосерийных машинах. Так себе фишка, короче. Все остальное из той же оперы. Хотя, если честно, мне даже жаль, что Тагазу не фартануло.
",0.0,0.0
"Суть-то не в кредитах, а в положении в обществе. Кто-то представитель дефицитной профессии, на резюме которого работодатели слетаются как мухи на мед, а кто-то в случае потери работы будет месяцами пороги обивать лишь бы снова взяли менеджерить крутить гайку. Деление на классы работает так. А кредиты и способность платить по ним не значат ничего - в царской России каждый третий дворянишка имел долгов на три жизни вперед, но холопом от этого не становился.
",0.0,0.0
"Нефть обеспечивала основной приток валюты в страну. А валюта была необходима все больше, потому что СССР не мог обеспечить себя всем необходимым.
",0.0,0.0
"суд Гоблядь, я понимаю, что ты совок до спирта в мозжечке. Но даже сами совки еще в совке запустили саркастичный мем про самый справедливый суд в мире. Гоблядь, ну а про путинский суд даже говорить смешно. Гоблядь, ну прекрати. Я понимаю тебе Евген не нравится, но приводить суд в этой стране, как источник беспристрастности, объективности, ну это просто смешно. Я уж не говорю о том, что не фанату человека, который 20 лет не платил авторских отчислений, пиратил фильмы и крал чужую интеллектуальную собственность попрекать кого-то в подобном. Завязывай.
",1.0,0.0
"Есть вариант продать кому надо продать Схемы такие ещё в 90-х были. Брали пару тачек, одну гоняли, а вторая на хранении. Потом списывали и продавали, так как уже у обеих машин ресурс исчерпан.
",0.0,0.0
"Всё, что следует знать о тв
",0.0,1.0
"Добавим к условиям задачи табличку - тут падает 50и килограммовые градины.
",0.0,1.0
"ХОХОЛ, ПОКАЙСЯ ПЕРЕД ВЯЧЕСЛАВОМ ВИКТОРОВИЧЕМ ЗА КРЫМ, ПОКА НЕ ПОЗДНО
",1.0,0.0
"Вот не пользовался не знаю как после. Обычно вроде как перед это обязаловка. Вот тут и прилипнет нехороший человек.
",0.0,0.0
"Ну девочка то хоть в наушниках, а не с блютуз петушилкой
",1.0,0.0
"Ну да, я почти всю жизнь там. Кстати, на Спартаке лед норм был, видимом потом бросили заливать и ровнять, как конбкобежцев не стало. Последнее время там больше на машинах учили ездить. А пустырь и стадин сейчас в рамках реновации застраивают.
",0.0,0.0
"а про ГТ1 ничего не слышно? прототип обкатку проходил; где то даже писали, что планируют закупить порядка 20 шт.. интересна судьба такой уникальной машины
",0.0,0.0
"Нас летом друзья зовут на пару дней в Минск прокатиться, блин всё ещё думаем
",0.0,0.0
"Очень редко мне снятся сны, в которых я либо поднимаюсь, либо спускаюсь с лестницы. Все лестницы разные, а страх оступиться и упасть один и тот же.
",0.0,0.0
"И все таки где то наебалово. Когда показывают сьемку с самой станции то она летит ровно и не крутится, а когда с Земли ее постоянно крутит вертит. Значит какие то видео из них подделка. Вопрос только один - какие именно.
",0.0,0.0
"полтинник это околоширокоугольник особенно на кропе Полтинник это нормальный объектив. То есть, не ширик, и не телевик, а объектив с нормальной передачей перспективы. На полном кадре. На кропе он телевик, кроп ведь сужает угол поля зрения объектива. Околоширокоугольник он на среднем формате.
",0.0,0.0
"А шо мне эти плюсы - скидку в магазине сделают или освободят от уплаты налогов?
",0.0,0.0
"Это не принципиально. Режим по умолчанию сделан для того, чтобы на этапе завершения поездки сразу стояли выбранные чаевые (хотя при желании, можно отменить). Но это будут всё те же 0, 5, 10 и 15 Но никак не 50, как на картинке выше.",0.0,0.0
"Этот слабоумный покупает прокси же.
",1.0,1.0
"Бан блять кроль за такую хуйню СХС КРОЛ
",1.0,1.0
"Много чего. Что-то по мелочи, что-то более крупное. Совсем столпы Лора не трогали, конечно. Но по мелочи го-го изменений.
",0.0,0.0
"Кто знает, кто знает. К тому времени многие уже уйдут, хз что за форматы будут популярны тогда.
",0.0,1.0
"Чего-то с их не сменяемостью власти в Америке и Германии живут они намного лучше чем мы в России.
",0.0,0.0
"Тоже LG стоит в углу, не знаю с чего начать. Вообще не реагирует на кнопки и пульт. Просто горит красный светодиод. EAY39810701. rev.1.2
",0.0,0.0
"Да, кредитку ты тихонько гасишь, а откладывать по 3-4к в месяц почти ни у кого не получается, тут, там, здесь, деньги раздергиваются и всё - никаких накоплений. Да и если тебе нужна стиральная машина, то она нужна сейчас, а не через пол-года, пока ты на неё накопишь, отказывая себе в чем-то еще. На нашу среднюю зарплату делать какие-либо накопления заранее не реально даже в одного, с семьёй еще меньше шансов ... З.Ы.: никто не заставляет тебя доводить до",0.0,0.0
"Я конечно дико извиняюсь, но всё-таки, а что случилось с волком Хромым? Видимо пропустил этот момент, напомните пожалуйста.
",0.0,0.0
"Уже лет 10 как они под себя подмяли эту сферу.
",0.0,0.0
"Может и старый, может и маразматик. Про то писать кириллицей или латинницей вам виднее, не спорю. Но как задвигают русский язык уже видно. Дальше скажут что все будет только на казахском и внезапно пол страны окажется вторым сортом. (Я надеюсь, что ошибаюсь, но это уже проходили в других странах азии, прибалтики, закавказья) А так я за мир во всем мире. Русский слон лучший друг Казахского слона.
",0.0,0.0
"Хохлам надо Бузову в президенты.
",1.0,0.0
"Пытался собрать комбосет на говнофришке, эх...
",1.0,1.0
"Похуй не может быть мучительно. Похуй всегда похуй
",1.0,0.0
"Согласен, после просмотра груза перестал смотреть его фильмы, какие бы он не снимал
",0.0,1.0
"Очередные предметы камлания
",0.0,1.0
"Так в цифрах будет структура экспорта? Или только эмоции?
",0.0,0.0
"почему тебя минусят какие то олигофрены?
",1.0,1.0
"Ганкера в частной группе не беспокоили? А то по началу ДВ2 у них даже свой рейтинг был кто больше исследователей настреляет...
",0.0,0.0
"Мы в Норвегию так слетали, выхватили билеты за копейки, только вот ценник в самой стране оказался на уровне 750р за кружку пива.
",0.0,0.0
"не гейское. а почему ты полумал о геях?
",1.0,1.0
"Трамп, кстати, наименее фашиствующий из них
",1.0,0.0
"ТС же собирает в институт поступать, студентам тоже зазорно работать?
",0.0,0.0
"Годами это я про авто конечно. Но ижак или урал у нас в магазинах не продавался. Только минск и восход. Но это больше для подростков, взрослые брали ижи и уралы как замена автомобилю.
",0.0,0.0
"Мне было немного проще. На работе особо не поиграешь, но пробежаться по локалкам вполне себе можно. В здравом уме ни 1 нормальный человек не будет задротить все локалки. Первые пару недель после их введения в легионе было неплохо, но потом пришло осознание адовости сего процесса. Правда локалки кирин-тора с прыжками доставляют до сих пор...
",0.0,0.0
"Самое первое это попытаться договориться. Все деньги перечисленые просто возвращаются. Если отношения нормальные, то это не проблема. Если по закону, то алименты выплачиваются тому с кем проживают дети. Так что подавать в суд, и тогда будут платить тому родителю с которым суд назначает проживание.
",0.0,0.0
"Если, кто заинтересовался сколько 32000 пессо. Это 109 760 тыщ рублей.
",0.0,0.0
"Но при всем при этом проезжая часть-то отчищена до асфальта! УК-шники не ходят пешком. Для автомобилей все, вроде, более менее нормально..
",0.0,0.0
"3.2 млн и коррупция? Просто выполнили план.
",0.0,0.0
", очистите наши ряды от невоспитанных грубиянов
",0.0,0.0
"Второе правило руководителя: Не можешь решить проблему самостоятельно - передай тому, в чьей компетенции её решить. т.е. или руководству выше, или руководству-сотруднику ниже...
",0.0,0.0
"Мерзкие леваки повсюду - фе
",1.0,1.0
На депутатство должен быть экзамен - как на гражданство.,0.0,1.0
"Гроб гроб кладбище пидор
",1.0,1.0
"Досмотрел до туда, теперь думаю, что это успешный выращиватель травы объебался и сделался добрым.
",0.0,0.0
"Ну авторы сериала вряд-ли раньше Мартина снимут?)
",0.0,0.0
"Да там завязано все на гействе, начиная со сцены возле телефонной будки. А действительно хороших сцен, 2-3. В конце вообще 20 минут переснятого концерта, который и так на ютубе можно глянуть. Можете кидать тапками, но фильм получился говно. Отличный подбор актеров и божественная музыка, все что у него есть.
",0.0,0.0
"А кто знает как называется сериал, может вечером посмотрю.
",0.0,1.0
"Да это понятно. Но 12 кобыл и сколько там у Peel a с его 50см3 было. Я же не зря в пример карт привел - колесики то соразмерны. Не думаю что на у Peel коробка с 12 передачами и передаточное число главной меньше чем мы делали на картах. Хотя если подумать,то Пионеры с 50см3 моторами и двумя передачами тоже довольно шустро бегали. Но 80... Если только в идеальных условиях
",0.0,0.0
"А мне видео понравилось. Музыка не очень, я бы темпа бы добавил, но тоже хорошо. А вобще я ожидал что-то типо этого:
",0.0,0.0
"В Минздраве назвали главную причину смерти мужчин В стране и миреВ стране Министр здравоохранения Вероника Скворцова назвала главную причину смерти мужчин. Об этом она рассказала на совещании по реализации нацпроектов Здравоохранение и Демография , передает РИА Новости. Около 70 процентов случаев смерти мужчин трудоспособного возраста связаны со злоупотреблением алкоголем. По ее словам, огромный ресурс снижения смертности зависит от образа жизни граждан.Скворцова пояснила, что самая уязвимая возрастная категория люди в возрасте от 50 до 60 лет. Так, россияне, дожившие до 55 лет, в среднем живут 79 лет. Проще всего повлиять на ребят, у которых нет еще накопительной заболеваемости, это возраст от 14-16 и до 35 лет. Потом несколько сложнее , подчеркнула она. По данным Минздрава на 2017 год, базовый показатель смертности мужчин 735 человек на 100 тысяч населения. В течение пяти лет Россия должна снизить уровень смертности на треть. Однако даже в этом случае российские показатели будут в два раза выше, чем в Евросоюзе, где умирают 200-230 человек на каждые сто тысяч жителей. Более 40 процентов случаев смерти в России можно предотвратить, резюмировала министр здравоохранения. Ранее сообщалось, что Минздрав разработал законопроект о запрете на продажу алкоголя с содержанием этилового спирта более 16,5 процента лицам младше 21 года. Также отмечалось, что за последние три года количество смертей от чрезмерного употребления алкоголя сократилось на две тысячи.
",0.0,0.0
"У меня лет 10 назад главная тема hitman 2 играла при звонке... думаю вернуть чтоли
",0.0,0.0
"А как же бутылка правосудия?
",0.0,1.0
"лишь бы банкоматы не стали выдавать старыми
",0.0,0.0
"у меня низкий интеллект тк резко пью wut?
",0.0,1.0
